"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1262","中和自強公園","30","16","中和區","20200418151342","24.999132","121.472513","莒光路181號對側公園人行道旁","Zhonghe Dist.","Zhonghe Ziqiang Park","No.181, Juguang Rd.(oppsite)","14","1"
"1263","富貴森林公園","36","9","林口區","20200418151322","25.083156","121.378464","中山路/富貴路口(富貴路人行道上)","Linkou Dist.","Fugui Park","Zhongshan Rd. / Fugui Rd. intersection","27","1"
"1264","林口自強公園","36","14","林口區","20200418151337","25.078126","121.397208","自強三街3號旁人行道","Linkou Dist.","Linkou Ziqiang Park","No.3, Ziqiang 3rd St.","22","1"
"1265","永昌里兒一公園","36","20","鶯歌區","20200418151331","24.956661","121.339645","鶯桃路182巷96弄36-38號對側","Yingge Dist.","Yongchang Village Children Park (No.1)","No.36-38, Aly. 96, Ln. 182, Yingtao Rd.(oppsite)","16","1"
"1266","捷運林口站(1號出口)","60","17","林口區","20200418151326","25.065970","121.361962","文化三路/八德路口 (1號出口旁)","Linkou Dist.","MRT Linkou Sta. (Exit 1)","Sec. 2, Wenhua 3rd Rd. / Bade Rd. intersection","43","1"
"1267","南興公園","52","8","汐止區","20200418151320","25.059779","121.652549","南興路62號旁(南興公園內)","Xizhi Dist.","Nanxing Park","No.62, Nanxing Rd.","44","1"
"1268","立言公園","34","5","林口區","20200418151336","25.073427","121.362340","忠孝一路/民族路61巷交叉口","Linkou Dist.","Liyan Park","Zhongxiao 1st Rd. / Ln. 61, Minzu Rd. intersection","29","1"
"1269","溪北公園","36","13","板橋區","20200418151329","24.990060","121.432281","篤行路二段131巷35號(對面人行道)","Banqiao Dist.","Xibei Park","No.35, Ln. 131, Sec. 2, Duxing Rd.","22","1"
"1270","頂新祖田市民活動中心","34","5","土城區","20200418151345","24.952710","121.411768","中央路四段285號","Tucheng Dist.","Dingxin-Zutian Civic Activity Center","No.285, Sec. 4, Zhongyang Rd.","29","1"
"1271","貴和市民活動中心","34","5","泰山區","20200418151343","25.034961","121.421928","明志路三段353號旁公園","Taishan Dist.","Guihe Civil Activity Center","No.353, Sec. 3, Mingzhi Rd.","29","1"
"1272","頂埔國小","34","23","土城區","20200418151328","24.956343","121.414421","中央路四段205號(頂埔國小校門口)(鄰近土城親子分館)","Tucheng Dist.","Dingpu Elementary School","No.205, Sec. 4, Zhongyang Rd.","11","1"
"1273","三峽區礁溪行政中心","32","18","三峽區","20200418151332","24.928438","121.375921","光明路71號(左側)","Sanxia Dist.","Chiaohsi Office of Sanxia District","No.71, Guangming Rd., Sanxia Dist.","14","1"
"1274","林口國小","36","13","林口區","20200418151336","25.080533","121.389307","林口路77號對面林口國小旁人行道","Linkou Dist.","Linkou Elementary School","No.77, Linkou Rd.(oppsite)","23","1"
"1275","南勢市民活動中心","34","25","林口區","20200418151343","25.074035","121.358924","南勢二街154號旁","Linkou Dist.","Nanshih Civil Activity Center","No.154, Nanshi 2nd St.(Side)","9","1"
"1276","青山廣場","36","17","土城區","20200418151332","24.977837","121.459751","明德路一段240巷1號(雜貨店前人行道)","Tucheng Dist.","Qingshan Square","No.1, Ln. 240, Sec. 1, Mingde Rd.","19","1"
"1277","林口社區運動公園","50","16","林口區","20200418151403","25.074150","121.377001","文化一路一段/仁愛路二段口(林口社區運動公園文化一路側人行道)","Linkou Dist.","Linkou Community Sports Park","Sec. 1, Wenhua 1st Rd./Sec. 2, Ren’ai Rd.(intersection)","34","1"
"1278","捷運新莊站 ( 2號出口 )","40","22","新莊區","20200418151345","25.036075","121.452792","新莊路214巷(捷運新莊站2號出口旁邊)","Xinzhuang Dist.","MRT Xinzhuang Sta. (Exit 2)","Ln. 214, Xinzhuang Rd.","18","1"
"1279","俊英俊保路口","30","17","樹林區","20200418151338","25.009150","121.425183","俊英街俊保路口(西北側人行道)","Shulin Dist.","Junying & Junbao Intersection","Junying St./Junbao Rd.(intersecion)","13","1"
"1280","五股國民運動中心","36","0","五股區","20200305141617","25.095553","121.448652","成泰路三段353號(對面公園內)","Wugu Dist.","Wugu Civil Sports Center","No. 353, Sec. 3, Chengtai Rd., Wugu Dist.","0","0"
"1281","學成大義路口","46","26","樹林區","20200418151333","24.945099","121.378671","學成路大義路口(西北側人行道)","Shulin Dist.","Xuecheng & Dayi Intersection","Xuecheng Rd./Dayi Rd.(intersecion)","20","1"
"1282","捷運頭前庄站(1號出口)","32","13","新莊區","20200418151321","25.039365","121.460856","中正路/思源路(東北側)(捷運頭前庄站1號出口旁廣場)","Xinzhuang Dist.","MRT Touqianzhuang Sta.(Exit.1)","Zhongzheng Rd./Siyuan Rd.(intersection)","19","1"
"1283","文化機車立體停車場","32","17","淡水區","20200418151341","25.172485","121.438806","文化路57號(立體停車場地下一樓)(鄰近福佑宮/淡水老街/淡水渡船碼頭/淡水白樓紅樓、偕醫館/登峰魚丸博物館/淡水禮拜堂)","Tamsui Dist.","Wenhua Motorcycle Parking Lot","No.57, Wenhua Rd.(Basement 1)","15","1"
"1284","成德公園","36","17","五股區","20200418151325","25.105052","121.452963","成泰路三段成洲八路口東北側成德公園路側","Wugu Dist.","Chengde Park","Sec. 3, Chengtai Rd./Chengzhou 8th Rd.(intersecion)","19","1"
"1285","頭湖國小","38","18","林口區","20200418151336","25.081673","121.372687","民權路101號旁(植栽帶)","Linkou Dist.","Touhou Elementary School","No.101, Minquan Rd.","19","1"
"1286","金城立德路口","38","0","土城區","20200418151325","24.986691","121.465481","金城路三段19-30號(路側人行道)","Tucheng Dist.","Jincheng & Lide Intersection","No.19-30, Sec. 3, Jincheng Rd.(Side)","38","1"
"1287","恩主公醫院","66","45","三峽區","20200418151345","24.938912","121.363553","復興路372號(對面公車亭後方人行道)","Sanxia Dist.","En Chu Kong Hospital","No.372, Fuxing Rd.(oppsite)","20","1"
"1288","中和區公所","32","3","中和區","20200418151345","24.998558","121.500533","景平路634-2號 ( 中和區公所正門機車格位 )","Zhonghe Dist.","Zhonghe District Office","No.634-2, Jingping Rd.","29","1"
"1289","忠山市民活動中心","36","7","汐止區","20200418151315","25.078202","121.624493","忠三街8號(活動中心旁籃球場空間)","Xizhi Dist.","Jhongshan Civil Activity Center","No.8, Zhong 3rd St.","28","1"
"1290","三重永豐公園","32","16","三重區","20200418151334","25.074629","121.478162","永福街197巷6之1號","Sanchong Dist.","San chong Yongfeng Park","No.6-1, Ln. 197, Yongfu St.","13","1"
"1291","臺灣藝術大學","66","24","板橋區","20200418151329","25.007502","121.448000","大觀路一段51號(郵局旁邊)","Banqiao Dist.","National Taiwan University of Arts","No.51, Ln. 197, Sec. 1, Daguan Rd.","42","1"
"1292","新莊體育館","40","23","新莊區","20200418151331","25.040766","121.452459","中華路一段136巷對面","Xinzhuang Dist.","Xinzhuang Gymnasium","Ln. 136, Sec. 1, Zhonghua Rd.(oppsite)","16","1"
"1293","永和耕莘醫院","32","0","永和區","20191105093619","25.011232","121.517701","國光路123號 ( 耕莘醫院外路側汽機車格位 )","Yonghe Dist.","Yonghe Cardinal Tien Hospital","No.123, Guoguang Rd.","0","0"
"1294","三多國小","34","13","樹林區","20200418151319","25.016405","121.407135","三福街83-89號(對面人行道)","Shulin Dist.","Sanduo Elementary School","No.83-89, Sanfu St.(oppsite)","20","1"
"1295","永安兒童公園","48","15","蘆洲區","20200418151333","25.082273","121.482236","永安北路2段/永安北路2段35巷","Luzhou Dist.","Yongan Children's Park","Sec. 2, Yong’an N. Rd./ Ln. 35, Sec. 2, Yong’an N. Rd.(intersection)","33","1"
"1296","新北市立中和高級中學","36","9","中和區","20200418151332","24.993700","121.478230","連城路460號(大門旁右側人行空間)","Zhonghe Dist.","New Taipei Municipal Zhonghe Senior High School","No.460, Liancheng Rd.","25","1"
"1297","扶輪公園","40","32","林口區","20200418151335","25.072864","121.369480","文化二路一段/文化二路一段309巷","Linkou Dist.","Fulun Park","Sec. 1, Wenhua 2nd Rd./ Ln. 309, Sec. 1, Wenhua 2nd Rd.(intersecion)","8","1"
"1298","安邦公園","34","13","中和區","20200418151342","24.996867","121.496647","安邦街與連勝街口(交叉路口西北側)","Zhonghe Dist.","Anbang Park","Anbang St./Liansheng St.(intersection)","21","1"
"1299","立德公園","34","23","林口區","20200418151331","25.076441","121.367223","仁愛二路與民族路口交叉口","Linkou Dist.","Lide Park","Ren’ai 2nd Rd./ Minzu Rd.(intersection)","11","1"
"1300","新北市政府(新站路)","60","31","板橋區","20200418151335","25.012614","121.466455","中山路一段161號(東側出口)(鄰近新北市市民廣場)","Banqiao Dist.","New Taipei City Hall ( Xinzhan Rd)","No.161, Sec. 1, Zhongshan Rd.","29","1"
"1301","清水高中","40","1","土城區","20200418151329","24.982756","121.465444","土城區明德路一段72號","Tucheng Dist.","Qing Shui Senior High School","No.72, Sec. 1, Mingde Rd.","39","1"
"1302","板橋車站","98","72","板橋區","20200418151324","25.015519","121.463735","新站路/站前路口(十字路口西側)(鄰近板橋高鐵站)","Banqiao Dist.","Banqiao Station","Xinzhan Rd. / Zhanqian Rd.(intersection)","26","1"
"1303","樹林國民運動中心","34","8","樹林區","20200418151318","25.004186","121.422847","樹林區中正路188-6號","Shulin Dist.","Shulin  Civil  Sports Center","No.188-6,Zhongzheng Rd.,Shulin Dist.","26","1"
"1304","捷運輔大站(4號出口)","42","33","新莊區","20200418151334","25.033025","121.436484","新莊區 中正路510之1號(鄰近輔仁大學)","Xinzhuang Dist.","MRT Fu Jen University Sta.(Exit.4)","No.510-1, Zhongzheng Rd., Xinzhuang Dist.","9","1"
"1305","民安東民全街口","36","17","新莊區","20200418151319","25.020774","121.429556","新莊區民安東路48號前人行道","Xinzhuang Dist.","Min’an E.& Minquan Intersection","No.48 Min’an E. Rd., Xinzhuang Dist.","19","1"
"1306","中興北街175巷口","32","13","三重區","20200418151319","25.055970","121.471327","三重區中興北街175巷10號對面(路側)","Sanchong Dist.","Zhongxing N. St. 175 Ln","No.10, Ln. 175,Zhongxing N. St., Sanchong Dist.","19","1"
"1307","仁愛路151巷口","44","9","汐止區","20200418151336","25.064819","121.663885","汐止區仁愛路153號門口(路側)","Xizhi Dist.","Ren Ai Rd 151 Ln","No.153, Ren’ai Rd., Xizhi Dist.","34","1"
"1308","五股工商立體停車場","40","21","五股區","20200418151329","25.082494","121.439555","五股區中興路四段19-1號(對面人行道)","Wugu Dist.","Wugu Gongshang Parking Towe","No.19-1, Sec. 4, Zhongxing Rd., Wugu Dist(oppsite)","19","1"
"1309","沛陂社區公園","34","14","土城區","20200418151341","24.963289","121.419672","土城區三民路23巷8弄(公園裡面)","Tucheng Dist.","Peipo Community Park","Aly. 8, Ln. 23, Sanmin Rd., Tucheng Dist","20","1"
"1310","佳和公園","34","12","中和區","20200418151319","25.006927","121.503171","中和區中山路二段2巷27號(對面公園)","Zhonghe Dist.","Chiahe Park","No.27, Ln. 2, Sec. 2, Zhongshan Rd., Zhonghe Dist(oppsite)","22","1"
"1311","溪頭公園","40","7","板橋區","20200418151338","25.033086","121.468403","板橋區溪頭街352號前面人行道","Banqiao Dist.","Xitou Park","No.352, Xitou St., Banqiao Dist.","29","1"
"1312","龍鳳公園","40","8","新莊區","20200418151333","25.021447","121.416497","新莊區龍安路72號對面(公園人行道)","Xinzhuang Dist.","Longfeng Park","No.72, Long’an Rd., Xinzhuang Dist.(oppsite)","32","1"
"1313","伊吉邦社區","46","4","新莊區","20200418151235","25.030186","121.413402","新莊區新北大道7段312號(人行道)","Xinzhuang Dist.","Yijibang","No.312, Sec. 7, New Taipei Blvd., Xinzhuang Dist","41","1"
"1314","三多第1市民活動中心","34","0","樹林區","20200418151327","25.016361","121.404257","樹林區福興街17號(活動中心前機車格)","Shulin Dist.","First of Sanduo Civil Activity Center","No.17, Fuxing St., Shulin Dist","33","1"
"1315","新北高工","44","21","土城區","20200418151336","24.982770","121.449900","新北市土城區學府路一段241號","Tucheng Dist.","New Taipei Industrial Vocational High School","No.241, Sec. 1, Xuefu Rd., Tucheng Dist","23","1"
"1316","瑞芳火車站","44","0","瑞芳區","20200418151343","25.108506","121.806460","民權路鐵道巷14號(東側機車停車場)","Ruifang Dist.","Ruifang Train Station","No.14, Railway Ln., Minquan St., Ruifang Dist.","44","1"
"1317","長風社區","36","10","土城區","20200418151328","24.978108","121.439369","土城區中華路二段91~95號(人行道)","Tucheng Dist.","Changfeng Community","No.91~95, Sec. 2, Zhonghua Rd., Tucheng Dist","26","1"
"1318","永和國民運動中心","40","9","永和區","20200418151343","25.003555","121.524246","永和區永利路141號(對面人行道)","Yonghe Dist.","Yonghe Civil Sports Center","No.141, Yongli Rd., Yonghe Dist(oppsite)","30","1"
"1319","民樂人行廣場","36","15","中和區","20200418151327","25.001834","121.482594","中和區員山路266巷39號(對面路側)","Zhonghe Dist.","Minle Jenhsing Square","No.39, Ln. 266, Yuanshan Rd., Zhonghe Dist.","21","1"
"1320","民生親子公園","30","16","樹林區","20200418151338","24.992983","121.428196","新北市樹林區保安街一段/保安街一段14巷","Shulin Dist.","Minsheng Parent-child Park","No.1, Ln. 14, Sec. 1, Bao’an St., Shulin Dist","14","1"
"1321","樹林工業區","38","5","樹林區","20200418151337","25.000868","121.416091","樹林區保安街二段6號(前面廣場)(鄰近樹林興仁花園夜市)","Shulin Dist.","Shulin industrial zone","No.6, Sec. 2, Bao’an St., Shulin Dist.(square)","33","1"
"1322","龍埔公園","36","13","三峽區","20200418151337","24.938911","121.373676","新北市三峽區國光街85號","Sanxia Dist.","Longpu Park","No.85, Guoguang St., Sanxia Dist","23","1"
"1323","尖山國中","32","15","鶯歌區","20200418151336","24.944300","121.342089","鶯歌區國中街1號(人行道)","Yingge Dist.","Municipal Jianshan Junior High School","No.1, Guozhong St., Yingge Dist(sidewalk)","17","1"
"1324","新北市立圖書館新店分館","36","25","新店區","20200418151244","24.982138","121.540903","新店區北新路三段105巷2號(路側)","Xindian Dist.","New Taipei City Library Xindian Branch","No.2, Ln. 105, Sec. 3, Beixin Rd., Xindian Dist.","11","1"
"1325","浮洲火車站","48","28","板橋區","20200418151340","25.004098","121.444447","板橋區僑中二街/大觀路一段38巷(自行車停放區內)","Banqiao Dist.","Fuzhou Train Station","No.90, Ln. 38, Sec. 1, Daguan Rd./Qiaozhong 2nd St., Banqiao Dist.","20","1"
"1326","捷運海山站(1號出口)","80","38","土城區","20200418151345","24.984695","121.448504","土城區海山路(捷運海山站1號出口人行道)","Tucheng Dist.","MRT Haishan","Haishan Rd., Tucheng Dist.(MRT Haishan 1)","40","1"
"1327","深坑區公所(深坑老街)","50","16","深坑區","20200418151331","25.0015","121.616311","新北市深坑區文化街45號(兒童公園旁)(鄰近深坑集順廟/深坑老街)","shenkeng Dist.","Shenkeng District Office(Shenkeng Old Street)","No.45, Wenhua St., Shenkeng Dist(park)","34","1"
"1328","東南科技大學","34","8","深坑區","20200418151321","25.0033","121.602501","深坑區北深路三段170號(對面機車格)","shenkeng Dist.","Tungnan University","No.170, Sec. 3, Beishen Rd., Shenkeng Dist","25","1"
"1329","德光國光街口","34","11","中和區","20200418151341","25.003136","121.468087","中和區德光國光街口(巷子路側)","Zhonghe Dist.","Tekuang & Kuokuang Intersection","Deguang Rd., Zhonghe Dist./Guoguang St.","22","1"
"1330","猴硐火車站","48","26","瑞芳區","20200418151316","25.086470","121.827190","柴寮路36號(旁公園路側)","Ruifang Dist.","Houtong Railway Stat","No. 36, Chailiao Rd., Ruifang Dist.","22","1"
"1331","永和國父紀念館","30","4","永和區","20200418151339","25.008390","121.520234","永和區國光路9號(前人行道)","Yonghe Dist.","Yonghe-Sun Yat-Sen Memorial Hall","No.9, Guoguang Rd., Yonghe Dist.","26","1"
"1332","台北得意GO","30","13","五股區","20200418151318","25.074424","121.467852","五股區四維路116號(人行道)","Wugu Dist.","Taipei Deyi GO","No. 116, Siwei Rd., Wugu Dist.","14","1"
"1333","大觀國中","40","17","板橋區","20200418151330","25.011210","121.447237","板橋區僑中二街8巷(對面人行道)","Banqiao Dist.","Daguan Junior High School","Ln. 8, Qiaozhong 2nd St., Banqiao Dist.(oppsite)","22","1"
"1334","太陽公園","32","12","三重區","20200418151344","25.086448","121.485599","三重區三賢街203號(對面汽車格)(鄰近蘆洲兒童親子分館)","Sanchong Dist.","Taiyang Park","No.203, Sanxian St., Sanchong Dist","20","1"
"1335","三重五常公園","28","12","三重區","20200418151318","25.080648","121.496149","三重區五華街7巷(對面公園人行道)","Sanchong Dist.","Wuchang Park(Sanchong Dist)","Ln. 7, Wuhua St., Sanchong Dist","16","1"
"1336","三德公園","36","21","三重區","20200418151335","25.074974","121.500542","三重區仁和街205號(斜對面公園人行道)","Sanchong Dist.","Sante Park","No.205, Renhe St., Sanchong Dist","13","1"
"1337","力行大勇街口","30","13","三重區","20200418151320","25.071928","121.481508","三重區力行路/大勇街口(路側)","Sanchong Dist.","Lixing & Tayung Intersection","Sec. 1, Lixing Rd., Sanchong Dist.,/,Dayong St., Sanchong Dist.(oppsite)","17","1"
"1338","蘆洲延平派出所","36","13","蘆洲區","20200418151330","25.081620","121.461620","蘆洲區長安街102巷5弄12號(對面)","Luzhou Dist.","Luzhou Yanping Police Station","No.12, Aly. 5, Ln. 102, Chang’an St., Luzhou Dist.","23","1"
"1339","永安南路九芎街71巷口","36","18","蘆洲區","20200418151324","25.077564","121.466071","蘆洲區永安南路/九芎街71巷口(對面人行道)","Luzhou Dist.","Yong' an S. Rd. & Ln. 71, Jiuqiong St Intersection","No.1, Sec. 2, Yong’an S. Rd., Luzhou Dist/No.1, Ln. 71, Jiuqiong St.","18","1"
"1340","福和宮","50","19","中和區","20200418151323","25.001110","121.501991","中和區廣福路112號(人行道)","Zhonghe Dist.","Fuhe Temple","No.112, Guangfu Rd., Zhonghe Dist","31","1"
"1341","飛駝社區(興南路)","42","0","中和區","20200418151320","24.983471","121.504826","中和區興南路二段159巷4號(人行道)","Zhonghe Dist.","Feito Community(Xingnan Rd.)","No.4, Ln. 159, Sec. 2, Xingnan Rd., Zhonghe Dist(sidewalk)","41","1"
"1342","保平路214巷","30","14","永和區","20200418151318","25.007010","121.509208","永和區保平路214巷12弄12號(對面路側)(鄰近樂華夜市/世界宗教博物館)","Yonghe Dist.","Baoping Ln 214","No.12, Aly. 12, Ln. 214, Baoping Rd., Yonghe Dist.","15","1"
"1343","汐科火車站(南)","64","17","汐止區","20200418151321","25.062884","121.646597","汐止區大同路二段182號(人行道)","Xizhi Dist.","Xike Railway Station(South)","No.182, Sec. 2, Datong Rd., Xizhi Dist.","47","1"
"1344","樹林國小","34","2","樹林區","20200418151344","24.989103","121.418296","樹林區啟智街/文化街口(啟智街129號)","Shulin Dist.","Shulin elementary school","Wenhua St./Qizhi St., Shulin Dist., New Taipei City","32","1"
"1345","永吉國小","36","16","鶯歌區","20200418151336","24.958747","121.333095","鶯歌區德昌二街39號(對面人行道)","Yingge Dist.","Yongchi elementary school","No.39, Dechang 2nd St., Yingge Dist.","20","1"
"1346","中園國小","36","2","三峽區","20200418151334","24.927551","121.366919","三峽區弘園街55號(對面人行道)","Sanxia Dist.","Zhongyuan elementary school","No.55, Hongyuan St., Sanxia Dist","30","1"
"1347","介壽國小","30","21","三峽區","20200418151321","24.930341","121.378835","三峽區介壽路一段/大同路口(人行道)","Sanxia Dist.","Jieshou elementary school","No.1, Sec. 1, Jieshou Rd., Sanxia Dist./ Datong Rd.","9","1"
"1348","安溪國中","32","14","三峽區","20200418151336","24.926790","121.371957","三峽區中正路一段/大同路(人行道路橋旁)","Sanxia Dist.","Ansi Junior High School","Zhongzheng Road Section / Datong Road (next to the sidewalk)","17","1"
"1349","龍埔國小","38","6","三峽區","20200418151331","24.941224","121.376763","三峽區大學路47號(對面人行道)","Sanxia Dist.","Longpu elementary school","No.47, Daxue Rd., Sanxia Dist.","31","1"
"1350","大安路與中山路二段口","34","9","樹林區","20200418151341","24.983043","121.411318","樹林區大安路622號(前人行道)","Shulin Dist.","Daan & Sec.2 Zhongshan Intersection","No. 622, Daan Rd., Shulin Dist.","25","1"
"1351","樹林區公所","40","9","樹林區","20200418151338","24.989760","121.424780","樹林區博愛街198-1~198-5號(對面人行道)","Shulin Dist.","Shulin District Office","No.198-1~198-5, Bo’ai St., Shulin Dist.","30","1"
"1352","蘆洲重陽大樓","30","11","蘆洲區","20200418151340","25.085055","121.481887","重陽二街22號(對面人行道)(鄰近蘆洲兒童親子分館)","Luzhou Dist.","Luzhou Chongyang Building","No.22, Chongyang 2nd St., Luzhou Dist.","19","1"
"1353","埔墘國小","34","3","板橋區","20200418151329","25.019078","121.473724","新北市板橋區永豐街44號","Banqiao Dist.","Puqian Elementary School","No.44, Yongfeng St., Banqiao Dist","31","1"
"1354","圓通錦和路口","46","21","中和區","20200418151325","24.989236","121.491482","中和區圓通路367巷路側(46-52停車格)","Zhonghe Dist.","Yuantong & Jinhe Intersection","Ln. 367, Yuantong Rd., Zhonghe Dist.","24","1"
"1355","下庄市場","30","1","八里區","20200418151318","25.146498","121.399748","舊城路19號前","Bali Dist.","Shia Juang Market","No.19, Jiucheng Rd., Bali Dist","29","1"
"1356","亞洲員安路口","34","17","土城區","20200418151343","24.972621","121.434796","亞洲路94號(對面人行道)(鄰近大黑松小倆口牛軋糖博物館)","Tucheng Dist.","Yazhou & Yuan'an Rd.","No. 94, Yazhou Rd., Tucheng Dist.","17","1"
"1357","大安路307巷口","32","6","樹林區","20200418151341","24.992158","121.417726","樹林區大安路307巷口","Shulin Dist.","Ln. 307 Daan & Daan Intersection","Ln. 307 Daan & Daan Intersection, Shulin Dist.","26","1"
"1358","漁人碼頭","50","20","淡水區","20200418151336","25.183869","121.411178","觀海路199號(右側人行廣場)(鄰近淡水漁人碼頭)","Tamsui Dist.","Fisherman's Wharf","No. 199, Guanhai Rd., Tamsui Dist.","29","1"
"1359","味王街","30","12","樹林區","20200418151319","24.974674","121.404424","味王街3號(馬路側)","Shulin Dist.","St. Weiwang","No. 3, Weiwang Street, Shulin Dist.","18","1"
"1360","福基公園","32","16","新莊區","20200418151317","25.058100","121.460892","福美街128巷12號","Xinzhuang Dist.","Zhenyi Village Park","No.12, Ln. 128, Fumei St., Xinzhuang Dist.","16","1"
"1361","振義里公園","30","10","板橋區","20200418151331","25.023888","121.483965","萬安街55號(對面機車停車格)","Banqiao Dist.","Zhenyi Village Park","No. 55, Wanan Street, Banqiao Dist.","20","1"
"1362","安溪國小","36","11","三峽區","20200418151334","24.930621","121.372344","中華路61號(對面路側)(鄰近李梅樹紀念館)","Sanxia Dist.","Anxi Elementary School","No.61, Zhonghua Rd., Sanxia Dist.","24","1"
"1363","中和安和路口","34","16","中和區","20200418151331","24.999667","121.506022","中和路與安和路口","Zhonghe Dist.","Zhonghe & Anhoe Rd.","Zhonghe Rd./Anhe Rd., Zhonghe Dist.","18","1"
"1364","元氣大鎮社區","28","17","中和區","20200418151216","25.005718","121.478997","中山路三段與台新街口","Zhonghe Dist.","Uanchi Big Town Commun","Sec. 3, Zhongshan Rd./Taixin St., Zhonghe Dist.","11","1"
"1365","員勝公園","40","13","中和區","20200418151340","25.010284","121.478686","員山路591號(巷內)","Zhonghe Dist.","Yuansheng Park","No.591, Yuanshan Rd., Zhonghe Dist.","27","1"
"1366","永和自由街","32","2","永和區","20200418151343","25.005200","121.513339","永和區 自由街69號(路側)","Yonghe Dist.","Yonghe Ziyou St.","Ziyou St., Yonghe Dist.(oppsite)","30","1"
"1367","安樂宜安路口","36","14","中和區","20200418151330","24.995273","121.513506","中和區安樂路101之1號","Zhonghe Dist.","Anle & Yian Rd. Intersection","No.1, Anle Rd., Zhonghe Dist.","22","1"
"1368","昌隆國小","36","12","新莊區","20200418151333","25.052129","121.454891","昌平街/昌平街31巷(對面昌隆國小人行道)","Xinzhuang Dist.","Changlong Elementary School","Changping Street / Changping Street 31 Lane (opposite the Changlong Primary School sidewalk)","24","1"
"1369","捷運新莊副都心站","46","19","新莊區","20200418151334","25.059145","121.446614","新莊區新北大道四段/中信街口(捷運副都心站2號出口)","Xinzhuang Dist.","MRT Xinzhuang Fuduxin Sta.","Sec. 4, New Taipei Blvd./Zhongxin St., Xinzhuang Dist.","26","1"
"1370","捷運泰山站","34","11","泰山區","20200418151317","25.053127","121.439683","新北大道四段389號(捷運泰山站內廣場)","Taishan Dist.","MRT Taishan Sta.","No.389, Sec. 4, New Taipei Blvd., Taishan Dist.","23","1"
"1371","八里中庄市場綜合大樓","36","0","八里區","20200418151325","25.159934","121.414074","中山路一段268巷2號(對面汽車停車場)","Bali Dist.","Bali Chung Chuang Market Multi-Purpose Building","No. 2, Ln. 268, Sec. 1, Zhongshan Rd., Bali Dist.","36","1"
"1372","江翠國中","30","9","板橋區","20200418151336","25.027987","121.468512","板橋區松江街63號(對面路側)(鄰近石雕公園)","Banqiao Dist."," Jiangcui Junior High School","No.63, Songjiang Street, Banqiao District (opposite to the road side)","21","1"
"1373","捷運新北產業園區站","44","2","新莊區","20200418151323","25.062029","121.459184","新莊區五工路55號","Xinzhuang Dist.","MRT New Taipei Industrial Park Sta.","No.55, Wugong Rd., Xinzhuang Dist.","40","1"
"1374","捷運泰山貴和站","36","26","泰山區","20200418151343","25.033192","121.422215","泰山區新北大道6段/貴陽街(貴陽街12號對面捷運站)","Taishan Dist.","MRT Taishan Guihe Sta.","Sec. 6, New Taipei Blvd./No.12, Guiyang St., Taishan Dist.","10","1"
"1375","龍形停車場","40","5","八里區","20200418151326","25.130410","121.451302","龍米路一段318號(對面停車場)","Bali Dist.","Long Xing Parking Tower","No. 318, Sec 1, Longmi Rd., Bali Dist.","35","1"
"1376","捷運紅樹林站","58","35","淡水區","20200418151344","25.153578","121.459124","淡水區中正東路2段68號(南向廣場)","Tamsui Dist.","MRT Hongshulin Sta.","No.68, Sec. 2, Zhongzheng E Rd., Tamsui Dist.","22","1"
"1377","大庄一號公園","28","2","淡水區","20200418151323","25.181957","121.422185","沙崙路97號對面人行道(大庄一號公園)","Tamsui Dist.","Dachuang Park No.1","No. 97, Shalun Rd., Tamsui Dist.","26","1"
"1378","三井Outlet","50","17","林口區","20200418151344","25.071574","121.366303","林口區文化二路一段241巷(三井Outlet北邊出口）(鄰近MITSUI OUTLET PARK 林口)","Linkou Dist.","MITSUI OUTLET PARK","Ln. 241, Sec. 1, Wenhua 2nd Rd., Linkou Dist.","32","1"
"1379","貿商國宅","40","21","五股區","20200418151327","25.069463","121.43031","登林路76-3號(前人行道)","Wugu Dist.","Mao Shang Public Housing","No.76-3, Denglin Rd., Wugu Dist.","19","1"
"1380","中正北路193巷(愛買三重店)","42","15","三重區","20200418151345","25.071362","121.475985","中正北路193巷45號(賣場停車場)","Sanchong Dist.","Ln. 193, Zhongzheng N. Rd(A.Mart Sanchong)","No.45, Ln. 193, Zhongzheng N. Rd., Sanchong Dist.","26","1"
"1381","翔譽雙子星","36","2","三重區","20200418151317","25.053638","121.492924","中正南路251號(右側人行道)","Sanchong Dist.","Xiang Yu Twin Towers","No.251, Zhongzheng S. Rd., Sanchong Dist.","34","1"
"1382","明志科技大學","50","1","泰山區","20200418151333","25.040434","121.422548","工專路84號對面人行道","Taishan Dist.","Ming Chi University Of Technology","No.84, Gongzhuan Rd., Taishan Dist.","48","1"
"1383","三民高中(民權路)","36","7","蘆洲區","20200418151342","25.088024","121.473928","民權路100號(對面人行道)","Luzhou Dist.","Sanmin Senior High School(Minquan Rd.)","No.100, Minquan Rd., Luzhou Dist.","29","1"
"1384","環河福德南路口","32","8","三重區","20200418151322","25.060285","121.502173","福德南路71號(對面人行道)","Sanchong Dist.","Huanhe S. & Fude S. Rd.","No.71, Fude S. Rd., Sanchong Dist.","24","1"
